City;Ward;Match_ID;New ID;Mahalla Name;Settlement Name;Households;Population;Settlement Age;Condition of access roads;Availability of drains;Electricity coverage;Solid waste collection service;Access to piped water supply;Availability of hygienic toilet;Street lighting;Attendance of children at school;Households with employment;Household income;Social problems;Land tenure security;Housing condition;Risk of eviction;Land Ownership;Type of Occupancy;Total Score
Cumilla;15;11501004;11401501004;Boyropur - Moulovipara;Muthi Sordar Bari;55;242;100;2;1;4;1;1;3;1;3;3;2;3;2;3;2;1;1;33
Cumilla;15;11501005;11401501005;Boyropur - Moulovipara;Chotki Para-1;25;117;100;2;1;4;1;1;2;1;3;3;2;3;2;3;1;1;1;31
Cumilla;15;11501006;11401501006;Boyropur - Moulovipara;Chotki Para-2;22;92;95;2;1;4;1;1;2;1;3;3;2;3;2;2;1;1;1;30
Cumilla;15;11502001;11401502001;Kashiani Potti- Moulovipara (Partial);Chairman Goli;60;285;85;2;1;4;1;1;3;2;4;4;4;3;3;2;4;4;4;46
Cumilla;15;11502002;11401502002;Kashiani Potti- Moulovipara (Partial);Bondropur Moulovipara (Tenu Mahajon Ar Bari);38;171;90;2;1;4;1;1;3;1;4;4;3;3;3;2;4;4;4;44
Cumilla;15;11502003;11401502003;Kashiani Potti- Moulovipara (Partial);Bekari Bari;25;117;95;2;1;4;1;1;2;1;3;3;2;3;2;2;4;4;4;39
Cumilla;15;11502004;11401502004;Kashiani Potti- Moulovipara (Partial);Moulovipara Ashek Miyar Bari;15;65;75;3;2;4;1;1;4;2;4;4;4;3;2;2;4;4;4;48
Cumilla;15;11503001;11401503001;Moulovipara (Pirtial)- Muslim Colony;Muslim Colony;23;108;105;2;1;4;1;1;1;2;3;3;2;2;2;1;1;1;1;28
Cumilla;15;11503002;11401503002;Moulovipara (Pirtial)- Muslim Colony;Badsha Bari;155;720;85;2;1;4;1;1;3;1;4;4;2;3;2;4;2;1;1;36
Cumilla;15;11503003;11401503003;Moulovipara (Pirtial)- Muslim Colony;Midda Bari;11;45;100;2;1;4;1;1;2;1;3;4;3;3;2;3;1;1;1;33
Cumilla;15;11503004;11401503004;Moulovipara (Pirtial)- Muslim Colony;Milo Mistery Bari;29;134;101;2;1;4;1;1;2;2;4;3;1;2;2;3;1;1;1;31
Cumilla;15;11503005;11401503005;Moulovipara (Pirtial)- Muslim Colony;Chairman Goli;9;38;99;2;1;4;1;1;2;1;3;2;1;3;1;3;1;1;1;28
Cumilla;15;11504001;11401504001;Baludom;Masjeed Ar Dokkhin Pashe;15;65;35;4;4;4;2;4;3;4;4;3;2;3;4;3;4;4;4;56
Cumilla;15;11504002;11401504002;Baludom;Jabbar Miyar Bari;17;75;25;4;3;4;2;3;3;3;2;3;2;2;1;1;1;1;1;36
Cumilla;15;11504003;11401504003;Baludom;Haruni Bari;8;35;20;4;4;3;2;3;3;3;3;2;2;3;1;1;1;1;1;37
