City;Ward;Match ID;New ID;Mahalla Name;Settlement Name;Households;Population;Settlement Age;Condition of access roads;Availability of drains;Electricity coverage;Solid waste collection service;Access to piped water supply;Availability of hygienic toilet;Street lighting;Attendance of children at school;Households with employment;Household income;Social problems;Land tenure security;Housing condition;Risk of eviction;Land Ownership;Type of Occupancy;Total Score
Dhaka South City Corporation;54;1235403002;;Karimullabag;Volar Bosti;153;659;30;4;4;4;3;4;3;4;3;2;2;1;1;2;1;2;2;42
Dhaka South City Corporation;54;1235403003;;Karimullabag;Kanar Mat;212;636;30;4;4;4;3;4;3;4;3;2;2;1;1;2;1;3;2;43
Dhaka South City Corporation;54;1235403004;;Karimullabag;Mitalir Goli;750;3000;42;4;4;4;4;4;4;3;4;2;2;3;2;2;2;4;3;51
Dhaka South City Corporation;55;1235501001;;Jaula Hati, Noya Gao, Jhau Chor;Khondokar Goli;100;430;60;2;2;4;1;1;4;1;4;3;3;2;3;4;4;4;4;46
Dhaka South City Corporation;55;1235501002;;Jaula Hati, Noya Gao, Jhau Chor;Jhauchor Boro Mosque House;120;500;80;2;1;4;3;1;3;1;3;3;3;3;3;2;3;2;1;38
Dhaka South City Corporation;55;1235501003;;Jaula Hati, Noya Gao, Jhau Chor;Jhaulahati Hazirhat;35;180;40;2;1;4;3;1;4;1;4;3;3;3;3;3;3;1;3;42
Dhaka South City Corporation;55;1235502001;;Munshihati, Munshihati River side, Hasan Nagor;Munsihati River Side;130;625;55;2;2;4;4;1;3;1;4;3;3;3;3;3;4;1;3;44
Dhaka South City Corporation;55;1235502002;;Munshihati, Munshihati River side, Hasan Nagor;Munsihati;40;225;70;1;1;3;3;1;3;1;3;3;2;3;3;2;3;2;2;36
Dhaka South City Corporation;55;1235502003;;Munshihati, Munshihati River side, Hasan Nagor;Vandarir Mor;60;290;50;2;2;4;4;1;4;1;4;3;3;4;4;3;4;1;3;47
Dhaka South City Corporation;55;1235503001;;Tekerhati, Aminbag;Tekerhati;70;350;65;1;1;3;3;1;3;1;3;3;3;3;3;3;4;1;2;38
Dhaka South City Corporation;55;1235503002;;Tekerhati, Aminbag;Jannatbag;60;270;50;2;2;4;4;1;4;1;4;3;3;3;3;4;4;1;3;46
Dhaka South City Corporation;55;1235504001;;Nabinagar, Sirajnagar, Munsurbag;West Nabinagar;10;45;12;2;2;4;1;1;3;1;4;3;3;4;4;4;4;4;4;48
Dhaka South City Corporation;55;1235504002;;Nabinagar, Sirajnagar, Munsurbag;Shoe Factory Goli;40;190;55;1;1;3;3;1;3;1;3;3;3;3;2;2;3;2;2;36
Dhaka South City Corporation;55;1235504003;;Nabinagar, Sirajnagar, Munsurbag;Monsurbag;90;400;55;2;2;4;3;1;3;1;4;3;3;3;3;3;4;1;3;43
Dhaka South City Corporation;55;1235504004;;Nabinagar, Sirajnagar, Munsurbag;Nabinagar;40;185;60;1;1;3;3;1;3;1;3;3;2;2;2;2;3;1;3;34
Dhaka South City Corporation;56;1235601001;;Huzurpara, West Ashrafabad, Alinagar;Khalpara Chowrasta;50;200;30;3;3;4;3;4;3;3;3;3;4;3;2;3;4;1;3;49
Dhaka South City Corporation;56;1235601002;;Huzurpara, West Ashrafabad, Alinagar;Huzurpara 1st Lane;80;400;15;3;3;4;3;3;3;3;3;3;4;3;3;3;4;1;3;49
Dhaka South City Corporation;56;1235601003;;Huzurpara, West Ashrafabad, Alinagar;Faruk Mia House Road;50;210;15;3;3;4;3;4;3;4;3;3;4;3;3;4;4;1;3;52
Dhaka South City Corporation;56;1235601004;;Huzurpara, West Ashrafabad, Alinagar;Jabeba School Road;30;100;25;3;3;4;3;4;3;4;4;4;3;3;2;3;4;1;3;51
Dhaka South City Corporation;56;1235601005;;Huzurpara, West Ashrafabad, Alinagar;Sagor House Road;30;120;10;2;3;4;3;4;3;4;3;4;4;3;3;3;4;1;3;51
Dhaka South City Corporation;56;1235601006;;Huzurpara, West Ashrafabad, Alinagar;Huzurpara 2nd Lane;50;300;20;3;3;4;3;4;3;3;3;4;4;4;3;3;4;1;3;52
Dhaka South City Corporation;56;1235601007;;Huzurpara, West Ashrafabad, Alinagar;Huzurpara 3rd Lane;80;300;10;3;3;4;3;4;3;3;3;3;4;3;3;3;3;1;3;49
Dhaka South City Corporation;56;1235601008;;Huzurpara, West Ashrafabad, Alinagar;VIP Goli;60;250;15;3;3;4;3;4;3;4;3;3;4;4;3;3;4;1;3;52
